"item";"location";"games";"location_general"
"Guard Spec.";"In the western extent of the forest on the eastern side of the route (requires Cut)";"E";"Hoenn Route 103"
"PP Up";"In the center of the forest on the eastern side of the route";"E";"Hoenn Route 103"
"Cheri Berry";"In the soft soil bed in the forest on the eastern side of the route (requires Cut)";"R|S|E";"Hoenn Route 103"
"Leppa Berry";"In the soft soil bed in the forest on the eastern side of the route (requires Cut)";"R|S|E";"Hoenn Route 103"
"Antidote";"On the beach, near the shore south of the Fisherman (hidden)";"R|S|E|OR|AS";"Hoenn Route 104"
"Heart Scale";"On the beach, in the area shortly southeast of the Fisherman (hidden)";"R|S|E|OR|AS";"Hoenn Route 104"
"Potion";"On the beach, in the northwestern area, south of the pier (hidden)";"R|S|E|OR|AS";"Hoenn Route 104"
"Oran Berry";"In the soft soil bed north of Mr. Briney's cottage";"R|S|E|OR|AS";"Hoenn Route 104"
"Pecha Berry";"In the soft soil bed north of Mr. Briney's cottage";"R|S|E|OR|AS";"Hoenn Route 104"
"Poké Ball";"Beyond the ledge in the northeast, accessed via the southeast exit from Petalburg Woods";"R|S|E|OR|AS";"Hoenn Route 104"
"TM09 (Bullet Seed)";"From the boy south of the Pretty Petal flower shop";"R|S|E";"Hoenn Route 104"
"Oran Berry";"In the soft soil bed next to the Pretty Petal flower shop";"R|S|E|OR|AS";"Hoenn Route 104"
"Cheri Berry";"In the soft soil bed next to the Pretty Petal flower shop";"R|S|E|OR|AS";"Hoenn Route 104"
"Poké Ball";"In a bare patch among the grass behind the Pretty Petal flower shop (hidden)";"R|S|E|OR|AS";"Hoenn Route 104"
"Potion";"Among the grass behind the Pretty Petal flower shop";"R|S|E";"Hoenn Route 104"
"Super Potion";"In a bare patch among the grass behind the Pretty Petal flower shop (hidden)";"R|S|E|OR|AS";"Hoenn Route 104"
"X Accuracy";"By the southeast corner of the pond (requires Cut or Surf)";"R|S|E";"Hoenn Route 104"
"PP Up";"Across the pond at a landing on its east shore (requires Surf)";"R|S|E|OR|AS";"Hoenn Route 104"
"Chesto Berry";"From the old woman standing by the soft soil bed north of the pond";"R|S|E|OR|AS";"Hoenn Route 104"
"Cheri Berry";"In the soft soil bed north of the pond";"R|S|E";"Hoenn Route 104"
"Leppa Berry";"In the soft soil bed north of the pond";"R|S|E";"Hoenn Route 104"
"White Herb";"From a girl in front of the Pretty Petal flower shop, after talking to the woman inside the shop by the door and obtaining the Dynamo Badge";"R|S|E";"Hoenn Route 104"
"Wailmer Pail";"Obtained from the girl northmost in the shop";"R|S|E|OR|AS";"Hoenn Route 104"
"Cheri Berry";"Received from the easternmost girl";"R|S|E|OR|AS";"Hoenn Route 104"
"Chesto Berry";"Received from the easternmost girl";"R|S|E|OR|AS";"Hoenn Route 104"
"Pecha Berry";"Received from the easternmost girl";"R|S|E|OR|AS";"Hoenn Route 104"
"Rawst Berry";"Received from the easternmost girl";"R|S|E|OR|AS";"Hoenn Route 104"
"Aspear Berry";"Received from the easternmost girl";"R|S|E|OR|AS";"Hoenn Route 104"
"Leppa Berry";"Received from the easternmost girl";"R|S|E|OR|AS";"Hoenn Route 104"
"Oran Berry";"Received from the easternmost girl";"R|S|E|OR|AS";"Hoenn Route 104"
"Persim Berry";"Received from the easternmost girl";"R|S|E|OR|AS";"Hoenn Route 104"
"Iron";"On the island closest to southern terminus";"R|S|E";"Hoenn Route 105"
"Big Pearl";"On the island with Bird Keeper Josue and Ruin Maniac Andres (hidden)";"E";"Hoenn Route 105"
"Heart Scale";"On northernmost sand-only island (hidden)";"R|S|E";"Hoenn Route 105"
"Heart Scale";"In the sand east of Fisherman Ned in the northeast shoreline (hidden)";"R|S|E|OR|AS";"Hoenn Route 106"
"Stardust";"On the rock northeast of Fisherman Elliot (hidden)";"R|S|E";"Hoenn Route 106"
"Poké Ball";"On the far left corner of the northernmost shore line (hidden)";"R|S|E|OR|AS";"Hoenn Route 106"
"Protein";"On the far west shore line (requires SurfRSE)";"R|S|E|OR|AS";"Hoenn Route 106"
"Star Piece";"On an island past Cooltrainer Carolina and Sailor Cory";"E";"Hoenn Route 108"
"Rare Candy";"On a rock on an island to the southeast of the Abandoned Ship (hidden)";"R|S|E";"Hoenn Route 108"
"Revive";"Western tip of the shoreline slightly northwest of Mr. Briney (hidden)";"R|S|E";"Hoenn Route 109"
"Ether";"East of the southeastern red umbrella in the main beach, next to the shoreline (hidden)";"R|S|E|OR|AS";"Hoenn Route 109"
"Soft Sand";"From a young girl on the southeast of the shore";"R|S|E|OR|AS";"Hoenn Route 109"
"Heart Scale";"Under the westernmost green umbrella (hidden)";"R|S|E";"Hoenn Route 109"
"Heart Scale";"Directly north of the old man with the Zigzagoon (hidden)";"R|S|E|OR|AS";"Hoenn Route 109"
"Heart Scale";"On the island with Young Couple Mel & Paul, in front of Mel (requires Surf) (hidden)";"R|S|E|OR|AS";"Hoenn Route 109"
"Great Ball";"Under the westernmost blue beach chair (hidden)";"R|S|E";"Hoenn Route 109"
"Soda Pop";"Reward for beating all Trainers in the Seashore House";"R|S|E|OR|AS";"Hoenn Route 109"
"Potion";"To the left of the old man with the Zigzagoon";"E";"Hoenn Route 109"
"PP Up";"On the eastern empty sandbar (requires Surf)";"R|S|E";"Hoenn Route 109"
"Dire Hit";"In an empty patch near Youngster Timmy";"R|S|E|OR|AS";"Hoenn Route 110"
"Rare Candy";"On the small grass island (requires Surf)";"R|S|E|OR|AS";"Hoenn Route 110"
"Full Heal";"In the empty patch north of the Trainer Tips sign about reorganizing Items (hidden)";"R|S|E|OR|AS";"Hoenn Route 110"
"Itemfinder";"Gift from Brendan/May after defeating them";"R|S|E";"Hoenn Route 110"
"Great Ball";"In grass north of where the player fights Professor Birch's child (hidden)";"R|S|E|OR|AS";"Hoenn Route 110"
"Revive";"In grass two squares east of the Trainer Tips sign about paralysis and sleep (hidden)";"E";"Hoenn Route 110"
"Elixir";"One step north of Psychic Edward and Triathlete Alyssa";"E";"Hoenn Route 110"
"Poké Ball";"In an empty patch in the grass north of Psychic Edward (hidden)";"R|S|E|OR|AS";"Hoenn Route 110"
"Nanab Berry";"In the soft soil patch at the beginning of the route closest to Mauville";"R|S|E";"Hoenn Route 110"
"Macho Brace";"Reward for defeating the Winstrate family";"R|S|E|OR|AS";"Hoenn Route 111"
"HP Up";"West side of the pond (requires Surf)";"R|S|E|OR|AS";"Hoenn Route 111"
"Elixir";"Near the southern terminus of the route";"E";"Hoenn Route 111"
"Stardust";"Directly north of the southern terminus of Route 112";"R|S|E|OR|AS";"Hoenn Route 111"
"Stardust";"In a rock Ruin Maniac Dusty is running around (hidden)";"R|S|E";"Hoenn Route 111"
"Protein";"Behind Mirage Tower (hidden)";"E";"Hoenn Route 111"
"Rare Candy";"In a rock east of Picnicker Becky (hidden)";"R|S|E";"Hoenn Route 111"
"TM37 (Sandstorm)";"Southernmost point, south of the Desert Ruins";"R|S|E|OR|AS";"Hoenn Route 111"
"TM43 (Secret Power)";"Gift from a boy near a Secret Base tree";"R|S|E";"Hoenn Route 111"
"Razz Berry";"From a girl near the Berry patch (once per day)";"R|S|E|OR|AS";"Hoenn Route 111"
"Oran Berry";"In the soft soil patch near the northern terminus";"R|S|E";"Hoenn Route 111"
"Razz Berry";"In the soft soil patch near the northern terminus";"R|S|E";"Hoenn Route 111"
"Nugget";"On the second ledge while coming down from Lavaridge Town";"R|S|E|OR|AS";"Hoenn Route 112"
"Pecha Berry";"In the loamy soil patch on the northern side of the route";"R|S|E";"Hoenn Route 112"
"Rawst Berry";"In the loamy soil patch on the northern side of the route";"R|S|E";"Hoenn Route 112"
"Ether";"First ledge from the east (hidden)";"R|S|E";"Hoenn Route 113"
"Nugget";"First ledge from the east (hidden)";"E";"Hoenn Route 113"
"Super Repel";"First ledge from the east";"R|S|E";"Hoenn Route 113"
"Max Ether";"Middle ledge, north of Parasol Lady";"R|S|E";"Hoenn Route 113"
"TM32 (Double Team)";"North of the westernmost patch of grass (hidden)";"R|S|E";"Hoenn Route 113"
"Soot Sack";"Obtained by speaking to the Glass Workshop boss";"R|S|E|OR|AS";"Hoenn Route 113"
"Hyper Potion";"Edge of the soot by the four dirt patches, to the south near the trees";"E";"Hoenn Route 113"
"TM28 (Dig)";"Obtained from the Fossil Maniac's little brother, inside his house";"R|S|E|OR|AS";"Hoenn Route 114"
"TM05 (Roar)";"Obtained from the Gentleman with a Poochyena";"R|S|E|OR|AS";"Hoenn Route 114"
"Energy Powder";"In the northeast, behind the two Trainers";"E";"Hoenn Route 114"
"Revive";"The very end of the southwest bank of the lake, in a patch of flowersORAS (hidden)";"R|S|E|OR|AS";"Hoenn Route 114"
"Persim Berry";"In the soft soil patch past Lanette's house";"R|S|E";"Hoenn Route 114"
"Carbos";"Below the southern most grass patch, in a rock behind a PokéManiac (hidden)";"R|S|E";"Hoenn Route 114"
"Protein";"First ledge up on the rocky exterior of Meteor Falls (requires Rock Smash)";"R|S|E|OR|AS";"Hoenn Route 114"
"Lotad Doll";"Obtained from Lanette after talking to her in Fallarbor Town";"S|E|AS";"Hoenn Route 114"
"Rare Candy";"In the small patch of land west of the top of the waterfall (requires Surf and Waterfall)";"R|S|E|OR|AS";"Hoenn Route 114"
"Razz Berry";"Obtained from the man outside Lanette's house";"R|S|E|OR|AS";"Hoenn Route 114"
"Bluk Berry";"Obtained from the man outside Lanette's house";"R|S|E|OR|AS";"Hoenn Route 114"
"Nanab Berry";"Obtained from the man outside Lanette's house";"R|S|E|OR|AS";"Hoenn Route 114"
"Wepear Berry";"Obtained from the man outside Lanette's house";"R|S|E|OR|AS";"Hoenn Route 114"
"Pinap Berry";"Obtained from the man outside Lanette's house";"R|S|E|OR|AS";"Hoenn Route 114"
"Super Potion";"The top corner of the beach near Rustboro City";"R|S|E";"Hoenn Route 115"
"Heart Scale";"On the beach, exactly one square north of Battle Girl Cyndy (hidden)";"R|S|E";"Hoenn Route 115"
"Great Ball";"South of the Meteor Falls exit, ledge to the east (requires Rock Smash)";"R|S|E";"Hoenn Route 115"
"PP Up";"Directly south of the Meteor Falls exit, at the end of the yellow path";"E";"Hoenn Route 115"
"Bluk Berry";"In the soft soil patch south of the Meteor Falls exit";"R|S|E";"Hoenn Route 115"
"TM01 (Focus Punch)";"West of the muddy slope on the northern end of the route (requires Surf)";"R|S|E";"Hoenn Route 115"
"Heal Powder";"Around the middle of the grove maze in the northwest (requires Surf)";"E";"Hoenn Route 115"
"Iron";"South of the muddy slope in the northern area (requires Mach Bike and Surf)";"R|S|E|OR|AS";"Hoenn Route 115"
"Kelpsy Berry";"In the soft soil patch in the grove maze up in the northern area (requires Surf)";"R|S|E|OR|AS";"Hoenn Route 115"
"Repel";"Southwest of the Trainer Tips sign by the Rustboro City entrance";"R|S|E|OR|AS";"Hoenn Route 116"
"X Sp. Atk";"Up the first set of stairs to the east of the Rusturf Tunnel entrance";"R|S|E|OR|AS";"Hoenn Route 116"
"Super Potion";"Among the trees west of the Rest House, near the southernmost ledge's western corner (requires Cut) (hidden)";"R|S|E|OR|AS";"Hoenn Route 116"
"Ether";"Among the trees west of the Rest House, at the far west side (requires Cut)";"R|S|E|OR|AS";"Hoenn Route 116"
"Potion";"Among the trees west of the Rest House (requires Cut)";"E";"Hoenn Route 116"
"Chesto Berry";"Among the trees west of the Rest House, at the far northwest (requires Cut)";"R|S|E";"Hoenn Route 116"
"Pinap Berry";"Among the trees west of the Rest House, at the far northwest (requires Cut)";"R|S|E";"Hoenn Route 116"
"Repeat Ball";"Gift from the Devon employee outside Rusturf Tunnel after delivering the Devon GoodsRSE/Devon PartsORAS";"R|S|E|OR|AS";"Hoenn Route 116"
"Black Glasses";"In the isolated eastern area (accessed via the Rusturf Tunnel exit southwest of the Verdanturf entrance), by the bottom of the stairs (hidden)";"R|S|E|OR|AS";"Hoenn Route 116"
"HP Up";"In the isolated eastern area (accessed via the Rusturf Tunnel exit southwest of the Verdanturf entrance), on the top level";"R|S|E|OR|AS";"Hoenn Route 116"
"Wepear Berry";"In the soft soil patches in the small grove of trees on the eastern side of the route";"R|S|E";"Hoenn Route 117"
"Revive";"Above the top flower patch (requires Cut)";"R|S|E|OR|AS";"Hoenn Route 117"
"Great Ball";"Below the bottom flower patch";"R|S|E|OR|AS";"Hoenn Route 117"
"Repel";"Below the bottom flower patch (hidden)";"R|S|E";"Hoenn Route 117"
"Heart Scale";"Western side, in a rock on the beach (hidden)";"R|S|E|OR|AS";"Hoenn Route 118"
"Iron";"Eastern side, in a rock on the eastern beach (hidden)";"R|S|E|OR|AS";"Hoenn Route 118"
"Good Rod";"Eastern side, from a Fisherman on the beach";"R|S|E|OR|AS";"Hoenn Route 118"
"Sitrus Berry";"Eastern side, in a Berry patch";"R|S|E";"Hoenn Route 118"
"Hyper Potion";"Eastern side, on the upper ledge, near the route's eastern terminus";"R|S|E";"Hoenn Route 118"
"Elixir";"Mixed amongst the grass near the center of the route";"R|S|E";"Hoenn Route 119"
"Elixir";"Southeast of the northern bridge of the route";"R|S|E";"Hoenn Route 119"
"Full Heal";"In a clear square in the southernmost large patch of grass (hidden)";"R|S|E";"Hoenn Route 119"
"Sitrus Berry";"In the soft soil near the first Acro Bike bridge";"R|S|E";"Hoenn Route 119"
"Leppa Berry";"In the soft soil near the first Acro Bike bridge";"R|S|E";"Hoenn Route 119"
"Hondew Berry";"In the soft soil near the upper waterfall (requires Surf and Waterfall)";"R|S|E";"Hoenn Route 119"
"Max Ether";"In a tiny patch of land east of the upper waterfall (requires Surf) (hidden)";"R|S|E|OR|AS";"Hoenn Route 119"
"Ultra Ball";"In the middle of a patch of long grass east of the river as it bends eastward at the middle of the route (requires Surf) (hidden)";"R|S|E|OR|AS";"Hoenn Route 119"
"Leaf Stone";"At the southernmost tip of the middle-level river (requires Surf)";"R|S|E|OR|AS";"Hoenn Route 119"
"HM02 (Fly)";"Obtained from Brendan/May after defeating them";"R|S|E|OR|AS";"Hoenn Route 119"
"Super Repel";"In the large grass patch at the southern end of the route";"R|S|E";"Hoenn Route 119"
"Hyper Potion";"In the large grass patch at the southern end of the route";"R|S|E";"Hoenn Route 119"
"Hyper Potion";"Near the muddy slope, south of the Weather Institute";"R|S|E";"Hoenn Route 119"
"Zinc";"On the patch of land northwest of the main path on the lowest level (requires Surf)";"R|S|E";"Hoenn Route 119"
"Calcium";"In the square of flowers beside a Secret Base entrance just west of the first waterfall (requires Acro Bike) (hidden)";"R|S|E";"Hoenn Route 119"
"Pomeg Berry";"In the soft soil near Fortree City";"R|S|E|OR|AS";"Hoenn Route 119"
"Rare Candy";"Near the maze of bridges on the upper-most part of the route (requires Acro Bike, Surf, and Waterfall)";"R|S|E|OR|AS";"Hoenn Route 119"
"Nugget";"Far north past the upper waterfall (requires Acro Bike, Surf, and Waterfall)";"E";"Hoenn Route 119"
"Rare Candy";"At the northern end of the route at the end of the path behind the trees (requires Cut) (hidden)";"R|S|E|OR|AS";"Hoenn Route 120"
"Rare Candy";"On the small shore on the southwest part of the route, near the Full Heal (requires Surf) (hidden)";"R|S|E|OR|AS";"Hoenn Route 120"
"Revive";"In a clear square on the northernmost patch of long grass (hidden)";"R|S|E|OR|AS";"Hoenn Route 120"
"Nest Ball";"On the narrow ledge near the northern end of the route (requires Devon ScopeRSE)";"R|S|E|OR|AS";"Hoenn Route 120"
"Devon Scope";"From Steven after battling Kecleon";"R|S|E|OR|AS";"Hoenn Route 120"
"Revive";"In the center of the puddle-laden area";"E";"Hoenn Route 120"
"Aspear Berry";"Soft soil patch near the puddle-laden area (requires Cut)";"R|S|E";"Hoenn Route 120"
"Zinc";"North part of the grass maze, on last square of bare path just southwest of the maze's northern entrance (hidden)";"R|S|E|OR|AS";"Hoenn Route 120"
"Nugget";"In the western portion of the grass maze";"R|S|E|OR|AS";"Hoenn Route 120"
"Pecha Berry";"Soft soil patch near the girl giving out Berries";"R|S|E";"Hoenn Route 120"
"Nanab Berry";"Soft soil patch on the shore of the pond in the southwest corner of the route";"R|S|E";"Hoenn Route 120"
"Pinap Berry";"Soft soil patch on the shore of the pond in the southwest corner of the route";"R|S|E";"Hoenn Route 120"
"Wepear Berry";"Soft soil patch on the shore of the pond in the southwest corner of the route";"R|S|E";"Hoenn Route 120"
"Razz Berry";"Soft soil patch on the shore of the pond in the southwest corner of the route";"R|S|E";"Hoenn Route 120"
"Full Heal";"Southern shore of the pond in the southwest corner of the route (requires Surf)";"R|S|E|OR|AS";"Hoenn Route 120"
"Hyper Potion";"Among the long grass near Route 121";"R|S|E";"Hoenn Route 120"
"Figy Berry";"From the woman next to southern soil patch if the player's ID ends in 0 or 5 (one daily)";"R|S|E|OR|AS";"Hoenn Route 120"
"Wiki Berry";"From the woman next to southern soil patch if the player's ID ends in 1 or 6 (one daily)";"R|S|E|OR|AS";"Hoenn Route 120"
"Mago Berry";"From the woman next to southern soil patch if the player's ID ends in 2 or 7 (one daily)";"R|S|E|OR|AS";"Hoenn Route 120"
"Aguav Berry";"From the woman next to southern soil patch if the player's ID ends in 3 or 8 (one daily)";"R|S|E|OR|AS";"Hoenn Route 120"
"Iapapa Berry";"From the woman next to southern soil patch if the player's ID ends in 4 or 9 (one daily)";"R|S|E|OR|AS";"Hoenn Route 120"
"Aspear Berry";"Soft soil patch near the western terminus";"R|S|E";"Hoenn Route 121"
"Chesto Berry";"Soft soil patch near the western terminus";"R|S|E";"Hoenn Route 121"
"Persim Berry";"Soft soil patch near the western terminus";"R|S|E";"Hoenn Route 121"
"Rawst Berry";"Soft soil patch near the western terminus";"R|S|E";"Hoenn Route 121"
"HP Up";"In a clear square in the grass south of Beauty Jessica on the other side of the fence (hidden)";"R|S|E|OR|AS";"Hoenn Route 121"
"Zinc";"South of the Safari Zone entrance";"E";"Hoenn Route 121"
"Revive";"Between Pokémon Breeders Pat and Myles in the fenced area";"E";"Hoenn Route 121"
"Carbos";"Near Gentleman Walter in the fenced area";"R|S|E|OR|AS";"Hoenn Route 121"
"Nugget";"Area with flowers, north of Pokéfan Vanessa (requires Cut) (hidden)";"R|S|E|OR|AS";"Hoenn Route 121"
"Full Heal";"Very east of the route, beyond patch of grass in fenced area (hidden)";"R|S|E|OR|AS";"Hoenn Route 121"
"Max Revive";"Between Cooltrainers Marcel and Cristin in a clear square in the grass in fenced area (hidden)";"E";"Hoenn Route 121"
"Nanab Berry";"Soft soil patch near the eastern terminus";"R|S|E|OR|AS";"Hoenn Route 121"
"PP Up";"At the end of the middle path of the tree maze in the far east (hidden) (requires Cut)";"E";"Hoenn Route 123"
"Rare Candy";"At the end of the bottom path of the tree maze in the far east (hidden) (requires Cut)";"E";"Hoenn Route 123"
"TM19 (Giga Drain)";"From the girl next to the soft soil bed near Route 122 if shown a Grass-type Pokémon";"R|S|E";"Hoenn Route 123"
"Pecha Berry";"In the soft soil bed near Route 122";"R|S|E";"Hoenn Route 123"
"Rawst Berry";"In the soft soil bed near Route 122";"R|S|E";"Hoenn Route 123"
"Sitrus Berry";"In the soft soil bed near Route 122";"R|S|E";"Hoenn Route 123"
"Leppa Berry";"In the soft soil bed at the east end of the northern path";"R|S|E";"Hoenn Route 123"
"Hyper Potion";"In a rock to the east of Collector Ed and Hex Maniac Kindra (hidden)";"R|S|E";"Hoenn Route 123"
"Elixir";"In the first area of the northern path";"R|S|E";"Hoenn Route 123"
"Super Repel";"In an empty square amongst the patch of grass west of the Leppa Berries (hidden)";"R|S|E";"Hoenn Route 123"
"Revival Herb";"West of Guitarist Fernando";"E";"Hoenn Route 123"
"PP Up";"West of Psychic Jacki and Expert Fredrick";"E";"Hoenn Route 123"
"Calcium";"West of Cooltrainer Braxton, near the pond";"R|S|E";"Hoenn Route 123"
"Ultra Ball";"South of the Berry Master's house";"R|S|E";"Hoenn Route 123"
"Revive";"Behind the Berry Master's garden, reachable by walking behind his house (hidden)";"R|S|E";"Hoenn Route 123"
"Grepa Berry";"In the soft soil bed in the Berry Master's garden";"R|S|E";"Hoenn Route 123"
"Pomeg Berry";"In the soft soil bed in the Berry Master's garden";"R|S|E";"Hoenn Route 123"
"Qualot Berry";"In the soft soil bed in the Berry Master's garden";"R|S|E";"Hoenn Route 123"
"Pomeg Berry";"Given by the Berry Master";"R|S|E|OR|AS";"Hoenn Route 123"
"Kelpsy Berry";"Given by the Berry Master";"R|S|E|OR|AS";"Hoenn Route 123"
"Qualot Berry";"Given by the Berry Master";"R|S|E|OR|AS";"Hoenn Route 123"
"Hondew Berry";"Given by the Berry Master";"R|S|E|OR|AS";"Hoenn Route 123"
"Grepa Berry";"Given by the Berry Master";"R|S|E|OR|AS";"Hoenn Route 123"
"Tamato Berry";"Given by the Berry Master";"R|S|E|OR|AS";"Hoenn Route 123"
"Cornn Berry";"Given by the Berry Master";"R|S|E|OR|AS";"Hoenn Route 123"
"Magost Berry";"Given by the Berry Master";"R|S|E|OR|AS";"Hoenn Route 123"
"Rabuta Berry";"Given by the Berry Master";"R|S|E|OR|AS";"Hoenn Route 123"
"Nomel Berry";"Given by the Berry Master";"R|S|E|OR|AS";"Hoenn Route 123"
"Spelon Berry";"Given by the Berry Master's wife the first time she is told the phrase ""GREAT BATTLE""";"R|S|E";"Hoenn Route 123"
"Pamtre Berry";"Given by the Berry Master's wife the first time she is told the phrase ""CHALLENGE CONTEST"" (requires entering the Hall of Fame)";"R|S|E";"Hoenn Route 123"
"Watmel Berry";"Given by the Berry Master's wife the first time she is told the phrase ""OVERWHELMING LATIAS"" (requires that the player has seen Latias)";"R|S|E";"Hoenn Route 123"
"Durin Berry";"Given by the Berry Master's wife the first time she is told the phrase ""COOL LATIOS"" (requires that the player has seen Latios)";"R|S|E";"Hoenn Route 123"
"Belue Berry";"Given by the Berry Master's wife the first time she is told the phrase ""SUPER HUSTLE"" (requires entering the Hall of Fame)";"R|S|E";"Hoenn Route 123"
"Cheri Berry";"Given by the Berry Master's wife if the player does not qualify for a special Berry (one at random)";"R|S|E|OR|AS";"Hoenn Route 123"
"Chesto Berry";"Given by the Berry Master's wife if the player does not qualify for a special Berry (one at random)";"R|S|E|OR|AS";"Hoenn Route 123"
"Pecha Berry";"Given by the Berry Master's wife if the player does not qualify for a special Berry (one at random)";"R|S|E|OR|AS";"Hoenn Route 123"
"Rawst Berry";"Given by the Berry Master's wife if the player does not qualify for a special Berry (one at random)";"R|S|E|OR|AS";"Hoenn Route 123"
"Aspear Berry";"Given by the Berry Master's wife if the player does not qualify for a special Berry (one at random)";"R|S|E|OR|AS";"Hoenn Route 123"
"Leppa Berry";"Given by the Berry Master's wife if the player does not qualify for a special Berry (one at random)";"R|S|E|OR|AS";"Hoenn Route 123"
"Oran Berry";"Given by the Berry Master's wife if the player does not qualify for a special Berry (one at random)";"R|S|E|OR|AS";"Hoenn Route 123"
"Persim Berry";"Given by the Berry Master's wife if the player does not qualify for a special Berry (one at random)";"R|S|E|OR|AS";"Hoenn Route 123"
"Lum Berry";"Given by the Berry Master's wife if the player does not qualify for a special Berry (one at random)";"R|S|E|OR|AS";"Hoenn Route 123"
"Sitrus Berry";"Given by the Berry Master's wife if the player does not qualify for a special Berry (one at random)";"R|S|E|OR|AS";"Hoenn Route 123"
"Blue Shard";"Near the southwest corner of the route, via surfacing through the southwest-most Dive spot (requires Dive)";"R|S|E";"Hoenn Route 124"
"Yellow Shard";"Near the northeast corner of the route (requires Dive)";"R|S|E";"Hoenn Route 124"
"Red Shard";"Near the northwest corner of the route (requires Dive)";"R|S|E";"Hoenn Route 124"
"Carbos";"In the empty square of in the cul-de-sac of seaweed (hidden)";"R|S|E";"Hoenn Route 124"
"Calcium";"Directly beneath the central northern Dive spot, in the dark spot (hidden)";"R|S|E";"Hoenn Route 124"
"Heart Scale";"Directly beneath the Dive spot closest to Mossdeep City, in the dark spot (hidden)";"R|S|E";"Hoenn Route 124"
"Heart Scale";"In the Dive spot near the center of the route, in the dark spot (hidden)";"R|S|E";"Hoenn Route 124"
"Pearl";"Directly beneath the second Dive spot north of the Treasure Hunter's house, in the dark spot (hidden)";"R|S|E";"Hoenn Route 124"
"Big Pearl";"Directly beneath the larger than usual Dive spot just southwest of the Treasure Hunter's house, in the dark spot (hidden)";"R|S|E";"Hoenn Route 124"
"Green Shard";"Beneath the square Dive spot near Lilycove City, in the empty square among the seaweed, south of the underwater Dive spot (hidden)";"R|S|E";"Hoenn Route 124"
"Big Pearl";"On the secondE/firstORAS island on east path (requires Surf)";"E|OR|AS";"Hoenn Route 125"
"Green Shard";"Northwest corner of the route, accessible through an underwater passage on Route 124 (requires Dive)";"R|S|E";"Hoenn Route 126"
"Ultra Ball";"In the central northern dark spot (hidden)";"R|S|E";"Hoenn Route 126"
"Heart Scale";"In the northwest dark spot (hidden)";"R|S|E";"Hoenn Route 126"
"Stardust";"In the northeast dark spot (hidden)";"R|S|E";"Hoenn Route 126"
"Yellow Shard";"In a dark spot in the middle of a small patch of seaweed to the far west (hidden)";"R|S|E";"Hoenn Route 126"
"Pearl";"In a dark spot in the middle of a small patch of seaweed to the far west (hidden)";"R|S|E";"Hoenn Route 126"
"Iron";"In a dark spot in the middle of a small patch of seaweed to the far west (hidden)";"R|S|E";"Hoenn Route 126"
"Big Pearl";"In the southeast dark spot among the seaweed (hidden)";"R|S|E";"Hoenn Route 126"
"Blue Shard";"In the bare square among the seaweed in the very southwest (hidden)";"R|S|E";"Hoenn Route 126"
"Zinc";"On the most northwest island of the route";"R|S|E";"Hoenn Route 127"
"Rare Candy";"On the southern side of the tree-filled island in the northwest corner of the route";"E";"Hoenn Route 127"
"Carbos";"On the southern side of the isolated, tree-filled island on the east side of the route, accessed through the small Dive spot in the southeast of the route (requires Dive)";"R|S|E|OR|AS";"Hoenn Route 127"
"Star Piece";"On the rock in the westmost trench (hidden)";"R|S|E";"Hoenn Route 127"
"Heart Scale";"On the rock in the 'trunk' of the central trench (hidden)";"R|S|E";"Hoenn Route 127"
"HP Up";"On the rock in the trench just east of center (hidden)";"R|S|E";"Hoenn Route 127"
"Red Shard";"On the rock in the easternmost trench (hidden)";"R|S|E";"Hoenn Route 127"
"Heart Scale";"On the smallest northern island, near Cooltrainer AlexaRS/RubenE (hidden)";"R|S|E";"Hoenn Route 128"
"Heart Scale";"On the west side of the ring-shaped island in the route's center (hidden)";"R|S|E";"Hoenn Route 128"
"Heart Scale";"On the south side of the southwestmost island (hidden)";"R|S|E";"Hoenn Route 128"
"Protein";"On the rock in the small Dive spot at the center of the ring-shaped island (hidden)";"R|S|E";"Hoenn Route 128"
"Pearl";"On the rock in the easternmost Dive spot (hidden)";"R|S|E";"Hoenn Route 128"
"Liechi Berry";"In the soft soil at the eastern end of the island";"R|S|E";"Hoenn Route 130"
"Rare Candy";"On the north side of the island in the northwest of the route";"R|S|E|OR|AS";"Hoenn Route 132"
"Protein";"On the ring-shaped island in the southwest of the route";"E";"Hoenn Route 132"
"Big Pearl";"On the southern of the two islands in the northeast of the route (requires Surf)";"R|S|E|OR|AS";"Hoenn Route 133"
"Max Revive";"In the center of the island in the south of the route (requires Surf)";"E";"Hoenn Route 133"
"Star Piece";"On the north side of the island in the northwest of the route (requires Surf)";"R|S|E|OR|AS";"Hoenn Route 133"
"Carbos";"South side of the sandy part of the largest island";"E|OR|AS";"Hoenn Route 134"
"Star Piece";"On the island in the southwest corner of the route";"E|OR|AS";"Hoenn Route 134"
"X Defense";"On the outside of the fence in the southeast, accessed from Route 104";"R|S|E|OR|AS";"Rustboro City"
"Premier Ball";"From a boy in the southwestern-most building, on the second floor";"R|S|E";"Rustboro City"
"HM01 (Cut)";"From the Cutter in the Cutter's House (west of the Pokémon Center)";"R|S|E|OR|AS";"Rustboro City"
"Great Ball";"A gift from the Devon employee after retrieving the Devon GoodsRSE/Devon PartsORAS";"R|S|E|OR|AS";"Rustboro City"
"Chesto Berry";"Held by Dots, a Seedot the player receives in a trade";"E";"Rustboro City"
